sentence,tf-idf-sum
"Then I tried to pull myself together, saying over and over, “I must, I must, I must…” Stiff from sitting in such an unusual position, I fell back against the side of the bed and kept up my struggle until just before ten-thirty, when I climbed back into bed.",18.84447448831244
"I held back my tears when I was with Peter, laughed uproariously with the van Daans as we drank lemon punch and was cheerful and excited, but the minute I was alone I knew I was going to cry my eyes out.",16.626479976666495
"A few of my stories are good, my descriptions of the Secret Annex are humorous, much of my diary is vivid and alive, but…it remains to be seen whether I really have talent.",14.355173321664534
"A loud sob brought me back down to earth, and I choked back my tears, since I didn’t want anyone next door to hear me.",13.329382145273259
"Unless you write yourself, you can’t know how wonderful it is; I always used to bemoan the fact that I couldn’t draw, but now I’m overjoyed that at least I can write.",12.697544825719216
"And if I don’t have the talent to write books or newspaper articles, I can always write for myself.",12.46075185800944
"That’s a horrible thought, but then I say to myself, “At the age of fourteen and with so little experience, you can’t write about philosophy.” So onward and upward, with renewed spirits.",12.232335241937342
"I finally realized that I must do my schoolwork to keep from being ignorant, to get on in life, to become a journalist, because that’s what I want!",11.800141153960759
"But, and that’s a big question, will I ever be able to write something great, will I ever become a journalist or a writer?",11.727247968308445
"“Eva’s Dream” is my best fairy tale, and the odd thing is that I don’t have the faintest idea where it came from.",11.054762450413612
"I hope so, oh, I hope so very much, because writing allows me to record everything, all my thoughts, ideals and fantasies.",10.628526925020749
"Peter filled my days, nothing but Peter, dreams and thoughts until Saturday night, when I felt so utterly miserable; oh, it was awful.",10.541581652665819
"The end of the war still seemed so far away, so unreal, like a fairy tale.",9.398402078060228
"Then I drew my knees to my chest, lay my head on my arms and cried, all huddled up on the bare floor.",9.188662886929889
"Parts of “Cady’s Life” are also good, but as a whole it’s nothing special.",8.129357278460718
"If the war isn’t over by September, I won’t go back to school, since I don’t want to be two years behind.",7.926802823619954
"I slid to the floor in my nightgown and began by saying my prayers, very fervently.",7.426602872508747
"I want to be useful or bring enjoyment to all people, even those I’ve never met.",7.259240895544708
"I can’t imagine having to live like Mother, Mrs. van Daan and all the women who go about their work and are then forgotten.",6.40160368977844
I haven’t worked on “Cady’s Life” for ages.,6.276546700828634
"And that’s why I’m so grateful to God for having given me this gift, which I can use to develop myself and to express all that’s inside me!",6.246516002912999
"In my mind I’ve worked out exactly what happens next, but the story doesn’t seem to be coming along very well.",5.891390285346817
"I might never finish it, and it’ll wind up in the wastepaper basket or the stove.",5.734432691933078
"It’ll all work out, because I’m determined to write!",5.448662221566206
I don’t want to have lived in vain like most people.,5.013520114679787
"My sorrow disappears, my spirits are revived!",4.783735924687505
When I write I can shake off all my cares.,4.152341954111579
I need to have something besides a husband and children to devote myself to!,4.149729224462701
For a long time now I didn’t know why I was bothering to do any schoolwork.,4.086342239926255
I know I can write.,4.023657908615353
I want to go on living even after my death!,4.009879675700931
I’m my best and harshest critic.,3.4410715821811344
But I want to achieve more than that.,2.9580355442579607
I know what’s good and what isn’t.,1.2467245468537702
And now it’s really over.,0.6106887278790414
It was over!,0.0
