sentence,tf-idf-sum
"We gave him a bottle of good wine from 1919, the van Daans (who can now give their gift after all) presented him with a jar of piccalilli and a package of razor blades, and Mr. Kugler gave him a jar of lemon syrup (to make lemonade), Miep a book, Little Martin, and Bep a plant.",30.03524580677732
"He doesn’t think it’s wrong, but he says that here, where we’re in such close quarters, it could lead to conflicts.” “We’ve already agreed not to quarrel, and I plan to keep my promise.” “Me too, Peter.",16.818862275647152
"Be careful, Anne, and don’t take it too seriously!” “I don’t, Father, but Peter’s a decent boy, a nice boy!” “Yes, but he doesn’t have much strength of character.",15.518614762681041
"I hope for his sake that he stays good, because he’s basically a good person.” We talked some more and agreed that Father would speak to him too.",15.304979721905177
"Sunday afternoon when we were in the front attic, Peter asked, “Have you talked to your Father yet, Anne?” “Yes,” I replied, “I’ll tell you all about it.",15.205563004635493
"While we were on the stairs, I said, “Father, I’m sure you’ve gathered that when Peter and I are together, we don’t exactly sit at opposite ends of the room.",13.87948845746463
"Sunday morning he called me to him and said, “Anne, I’ve been thinking about what you said.” (Oh, oh, I knew what was coming!)",13.009486760201304
"But Anne, when you’re living so close together, as we do, you have to be careful.” He said some other words to that effect, and then we went upstairs.",10.490718871306095
"Do you think that’s wrong?” Father paused before answering: “No, I don’t think it’s wrong.",10.247496864479027
“I believe you have a good character and that you’ll get ahead in this world.” After that we talked about other things.,9.746170050724048
"You see other boys and girls, you can go outdoors, take part in sports and all kinds of activities.",8.366759524653215
"In matters like these, it’s always the man who takes the active role, and it’s up to the woman to set the limits.",7.789534750391661
"Later I said, “If we ever get out of here, I know you won’t give me another thought.” He got all fired up.",7.758773398774345
Saturday night I asked Peter whether he thinks I should tell Father about us.,7.322547632123984
"But you must be the one to show restraint; don’t go upstairs so often, don’t encourage him more than you can help.",6.450793669930722
"Oh no, I won’t let you even think that about me!” Just then somebody called us.",6.222269252511029
"But Father didn’t think we were serious, he thought we were just friends.",5.70106750927152
"As soon as I came downstairs, I went with Father to get some water.",5.523305779369626
"You are, aren’t you?” “I hope so.” (He was very shy, and blushing.)",5.233508002835492
"Sunday, his birthday, passed without incident.",5.114093262220573
"I do trust you, Peter, just as much as I do Father.",4.862452596739686
"He can easily be influenced to do good, but also to do bad.",4.420912019631729
"I was glad; it shows he’s sensible, and sensitive.",4.4149631241637
"“I believe in you, Peter,” I continued.",4.224005202035549
"You see each other every hour of the day—all the time, in fact.",4.018123264507427
I also told Father that I trust you.,4.0105293323669216
"Outside, where you’re free, things are quite different.",3.70990057013807
"After we’d discussed it, he said he thought I should.",3.7014872259867295
"Is Peter in love with you?” “Of course not,” I answered.",3.6997512899548926
"But here, if you’re together too much and want to get away, you can’t.",3.4115861354159955
And I think you’re worthy of my trust.,3.1960457984833788
"Do you think we still can be?” “Yes, I do.",3.1224786585324216
He treated everyone to an egg.,2.7092325625024953
"“That’s not true, Anne.",2.6617991557994323
I thought you were just friends.,2.3885904562805518
“Here in the Annex it’s not such a good idea.,2.2544267148690555
"“Well, you know I understand both of you.",1.4838828304728815
"No, I’m going!",0.20595312697041088
How about you?” “Me too.,0.0
