sentence,tf-idf-sum
"All college students are being asked to sign an official statement to the effect that they “sympathize with the Germans and approve of the New Order.” Eighty percent have decided to obey the dictates of their conscience, but the penalty will be severe.",26.954008185707263
"Dussel welcomed her with the words “Come into my bed, my child!” We burst into peals of laughter, and the roar of the guns bothered us no more; our fears had all been swept away.",18.906772811163734
Mrs. van D. sprang out of bed and went downstairs to Dussel’s room to seek the comfort she was unable to find with her spouse.,15.662166017682113
"Our milkman, who lives in Halfweg, saw four Canadians sitting along the side of the road, and one of them spoke fluent Dutch.",15.322687679515804
Mrs. van D. was already standing beside her bed with her knees knocking when the boom came.,15.064137346594505
"Mr. and Mrs. van D. had seen a red glow through the open window, and he thought there was a fire nearby, while she was certain our house was ablaze.",14.482448154948703
"This was followed by a loud boom, which sounded as if a firebomb had landed beside my bed.",13.62138180819445
"He asked the milkman if he had a light for his cigarette, and then told him the crew had consisted of six men.",12.625085420188883
"Although it’s undeniably hot, we have to light a fire every other day to burn our vegetable peelings and garbage.",12.004563852932197
Any student refusing to sign will be sent to a German labor camp.,11.809551741066846
"The German Security Police came to pick up the four remaining men, none of whom were injured.",11.790222254903219
"Dussel stayed upstairs to smoke a cigarette, and we crawled back into bed.",11.669901986294974
"The pilot had been burned to death, and the fifth crew member had hidden himself somewhere.",11.441715235128713
Last night the guns were making so much noise that Mother shut the window; I was in Pim’s bed.,10.992989447652679
"Unfortunately, a couple of Allied airmen had to jump out of their burning plane.",9.982592000768905
"Suddenly, right above our heads, we heard Mrs. van D. leap up, as if she’d been bitten by Mouschi.",9.662266656208116
I recently witnessed a fierce dogfight between German and English pilots.,8.5329201826499
What’s to become of the youth of our country if they’ve all got to do hard labor in Germany?,7.629743872454178
"After parachuting out of a flaming plane, how can anyone have such presence of mind?",7.507426661256029
"We can’t throw anything into the trash cans, because the warehouse employees might see it.",7.328554463632747
I expected the room to burst into flames any minute.,5.2769417605379365
Less than fifteen minutes later the shooting started again.,4.812764078832406
Lights!” I screamed.,3.6565657878110738
One small act of carelessness and we’re done for!,3.488478073620638
Pim switched on the lamp.,3.3609093677122583
We all rushed upstairs to see what was going on.,3.2908780120919365
“Lights!,2.201449817966929
Nothing happened.,1.0762709709490512
